car_year,car_price,car_license,car_gear,car_glass,car_motor_power,car_speedometer,car_number_of_passengers,car_payment_method,car_previous_owners,car_sunroof,car_magnesium_rims,car_fuel_بنزين,car_fuel_ديزل,car_fuel_كهرباء,car_fuel_هايبرد,car_origin_تأجير,car_origin_تجاري,car_origin_تدريب سياقة,car_origin_حكومي,car_origin_خصوصي,car_origin_عمومي,car_name_audi a3,car_name_audi a4,car_name_audi a6,car_name_audi q5,car_name_bmw 2005,car_name_bmw 218d,car_name_bmw 316,car_name_bmw 318,car_name_bmw 320,car_name_bmw 325,car_name_bmw 328,car_name_bmw 420i coupe,car_name_bmw 520,car_name_bmw 523,car_name_bmw 525,car_name_bmw 528,car_name_bmw i116,car_name_bmw mini cooper,car_name_bmw x3,car_name_chevrolet 2000,car_name_chevrolet 2008,car_name_chevrolet aveo,car_name_chevrolet captiva,car_name_chevrolet cavalier,car_name_chevrolet cruze,car_name_chevrolet malibu,car_name_chevrolet optra,car_name_chevrolet spark,car_name_citroen 2007,car_name_citroen berlingo,car_name_citroen berlingo multispace,car_name_citroen c-elysee,car_name_citroen c1,car_name_citroen c3 picasso,car_name_citroen c4 picasso,car_name_citroen c5,car_name_citroen ds3,car_name_citroen ds5,car_name_citroen jumper,car_name_dacia 2016,car_name_dacia dokker,car_name_dacia duster,car_name_dacia renault,car_name_dacia stepway,car_name_daewoo espero,car_name_daewoo lanos,car_name_daewoo matiz,car_name_daewoo nubira,car_name_fiat 127,car_name_fiat 131 station,car_name_fiat 1998,car_name_fiat 2009,car_name_fiat doblo,car_name_fiat freemont,car_name_fiat linea,car_name_fiat panda,car_name_fiat punto,car_name_fiat qubo,car_name_fiat uno,car_name_ford 2013,car_name_ford connect,car_name_ford fiesta,car_name_ford focus,car_name_ford kuga,car_name_ford mondeo,car_name_ford transit,car_name_honda civic,car_name_honda cr-v,car_name_hyundai 2001,car_name_hyundai 2006,car_name_hyundai 2014,car_name_hyundai 2018,car_name_hyundai 2019,car_name_hyundai accent,car_name_hyundai accord,car_name_hyundai atos,car_name_hyundai avante,car_name_hyundai click,car_name_hyundai elantra,car_name_hyundai getz,car_name_hyundai h1,car_name_hyundai h100,car_name_hyundai i10,car_name_hyundai i20,car_name_hyundai i25,car_name_hyundai i30,car_name_hyundai i40,car_name_hyundai ioniq,car_name_hyundai ix35,car_name_hyundai kona,car_name_hyundai santa fe,car_name_hyundai sonata,car_name_hyundai terracan,car_name_hyundai trajet,car_name_hyundai tucson,car_name_hyundai venue,car_name_hyundai verna,car_name_iveco 2000,car_name_iveco c15,car_name_jaguar xe,car_name_jaguar xf,car_name_jeep chrysler,car_name_jeep compass,car_name_jeep santa fe,car_name_kia 2005,car_name_kia 2012,car_name_kia ceed,car_name_kia cerato,car_name_kia forte,car_name_kia k3,car_name_kia k5/ license 2014,car_name_kia magentis,car_name_kia morning,car_name_kia niro,car_name_kia niro hybrid,car_name_kia optima,car_name_kia picanto,car_name_kia pride,car_name_kia rio,car_name_kia sorento,car_name_kia soul,car_name_kia sportage,car_name_kia stonic,car_name_land rover defender,car_name_land rover discovery,car_name_mazda 3,car_name_mazda 323,car_name_mazda 6,car_name_mazda B2500,car_name_mazda cx3,car_name_mercedes 170,car_name_mercedes 180,car_name_mercedes 200,car_name_mercedes 220,car_name_mercedes 230,car_name_mercedes 240,car_name_mercedes 250,car_name_mercedes 410,car_name_mercedes 411,car_name_mercedes 412,car_name_mercedes 416,car_name_mercedes 814,car_name_mercedes c180,car_name_mercedes c200,car_name_mercedes c220,car_name_mercedes c250,car_name_mercedes e200,car_name_mercedes e220,car_name_mercedes e250,car_name_mercedes e270,car_name_mercedes gla 250,car_name_mercedes gla200,car_name_mercedes viano,car_name_mercedes vito,car_name_mercedes w210,car_name_mitsubishi attrage,car_name_mitsubishi galant,car_name_mitsubishi i300,car_name_mitsubishi l200,car_name_mitsubishi l400,car_name_mitsubishi lancer,car_name_mitsubishi outlander,car_name_mitsubishi space star,car_name_mitsubishi space wagon,car_name_nissan altima,car_name_nissan juke,car_name_nissan micra,car_name_nissan mira,car_name_nissan note,car_name_nissan qashqai,car_name_nissan winger,car_name_opel astra,car_name_opel corsa,car_name_opel insignia,car_name_opel kadett,car_name_opel mokka,car_name_opel omega,car_name_opel vectra,car_name_opel zafira,car_name_peugeot 2008,car_name_peugeot 205,car_name_peugeot 206,car_name_peugeot 207,car_name_peugeot 208,car_name_peugeot 3008,car_name_peugeot 301,car_name_peugeot 306,car_name_peugeot 307,car_name_peugeot 308,car_name_peugeot 308 GT,car_name_peugeot 404,car_name_peugeot 405,car_name_peugeot 406,car_name_peugeot 407,car_name_peugeot 5008,car_name_peugeot 508,car_name_peugeot boxer,car_name_peugeot expert,car_name_peugeot partner,car_name_peugeot partner tepee,car_name_peugeot tepee,car_name_polaris motorcycle,car_name_renault clio,car_name_renault fluence,car_name_renault kangoo,car_name_renault megane,car_name_renault r9,car_name_rover s400,car_name_seat arona,car_name_seat ateca,car_name_seat cordoba,car_name_seat ibiza,car_name_seat leon,car_name_skoda 2014,car_name_skoda 2019,car_name_skoda 2020,car_name_skoda citigo,car_name_skoda fabia,car_name_skoda felicia,car_name_skoda karoq,car_name_skoda kodiaq,car_name_skoda octavia,car_name_skoda ramesh,car_name_skoda rapid,car_name_skoda roomster,car_name_skoda scala,car_name_skoda station,car_name_skoda superb,car_name_skoda yeti,car_name_ssangyong rexton,car_name_subaru impreza,car_name_subaru legacy,car_name_subaru sambar,car_name_subaru station,car_name_toyota corolla,car_name_toyota hilux,car_name_toyota rav4,car_name_volkswagen amarok,car_name_volkswagen beetle,car_name_volkswagen bora,car_name_volkswagen caddy,car_name_volkswagen cc,car_name_volkswagen crafter,car_name_volkswagen golf,car_name_volkswagen golf plus,car_name_volkswagen gti,car_name_volkswagen jetta,car_name_volkswagen kubelwagen,car_name_volkswagen lt,car_name_volkswagen passat,car_name_volkswagen polo,car_name_volkswagen t-cross,car_name_volkswagen t-roc,car_name_volkswagen tiguan,car_name_volkswagen touran,car_name_volkswagen transporter,car_name_volvo 88,car_name_اوبل كوووورسا بسعر ممتاز,car_name_بي ام دبليو  x1,car_name_بي ام دبليو 1988,car_name_بي ام دبليو بي ام 320,car_name_بي ام دبليو ٢٠١٢,car_name_ستروين  C4,car_name_ستروين C3,car_name_ستروين Spacetourer,car_name_ستروين c3 diesel privat,car_name_سكودا 2006,car_name_سكودا 2008,car_name_سيت توليدو,car_name_فولفو  s40,car_name_فولكسفاجن جوالف,car_name_فولكسفاجن جولف R,car_name_كاديلاك 2011,car_name_كيا سبورتاج اصل الماني  بانوراما بصمه شاشه كاميرا,car_name_ميتسوبيشي كاريزما,car_name_نيسان LV200,car_name_نيسان تيدا,car_name_هونداي اكسنت كوري بصمه
2014,100000,1,1,1,2000,75000,5.0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,60000,1,1,1,2500,130000,8.0,0,2,1.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,5500,1,0,0,900,90850,5.0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,65000,1,0,1,1400,235046,5.0,0,1,0.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,39000,1,0,1,1400,73600,5.0,1,2,0.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,73000,1,1,1,1200,45000,5.0,1,0,0.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,30000,1,1,1,1600,70000,5.0,0,4,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,66000,1,0,1,1400,79000,5.0,1,1,0.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,55000,1,0,1,1600,143157,5.0,1,2,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,2600,0,1,1,2000,210000,5.0,1,3,1.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
