car_name,car_year,car_price,car_color,car_fuel,car_origin,car_license,car_gear,car_glass,car_motor_power,car_speedometer,car_number_of_passengers,car_driver_system_type,car_payment_method,car_previous_owners,car_sunroof,car_magnesium_rims
كيا اوبتيما,2014,100000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,75000,4+1,,نقدا فقط,يد اولى,1,1
كيا سورينتو,2007,60000,سكني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2500,130000,7+1,,إمكانية التقسيط,2,1,1
هونداي افانتي,2006,43500,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,,نقدا فقط,,,1
فيات 127,1982,5500,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,906,شغال,4+1,,إمكانية التقسيط,00,,
بيجو 208,2014,54000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,38000,4+1,,نقدا فقط,,,1
بي ام دبليو x3,2015,205000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,5+1,,نقدا فقط,0,1,1
اوبل كورسا,2015,65000,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,١٢٣٤٥٦,٤+١,,إمكانية التقسيط,يد اولى,,1
مرسيدس C200,2014,230000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,50000,4+1,,إمكانية التقسيط,1,1,1
فورد فيستا,2014,59000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,,نقدا فقط,,,
نيسان باترول,2003,84000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,4500,56000,8,,إمكانية التقسيط,0,,1
فورد ترانزيت,2005,75000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,460000,7+1,,إمكانية التقسيط,يد اولى,,
بيجو 206+,2012,39000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,,نقدا فقط,يد ثانية,,1
سكودا فابيا,2016,73000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,45000,4+1,,نقدا فقط,0,,1
فيات 1998,1998,30000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70000,4+1,,إمكانية التقسيط,4,,
سكودا فابيا,2012,55000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,,,,نقدا فقط,,,1
كيا برايد,2014,66000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1400,79000,4+1,,نقدا فقط,1,,1
بيجو بارتنر,2011,55000,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,000,,,نقدا فقط,يد ثانيه,,
فولكسفاجن كادي,2014,100000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150 الف,6+1,,إمكانية التقسيط,,,
هوندا اكورد,1997,2600,ذهبي,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1800,210000,4+١,,نقدا فقط,3,1,1
اوبل اسكونا,1967,1800,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1200,1,4+1,,إمكانية التقسيط,2,,1
هونداي سانتافيه,2008,77000,أزرق سماوي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,20000,6+1,,نقدا فقط,3,1,
هونداي الانترا,1999,20000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,00000000000000000,4+1,,نقدا فقط,ثالثة,,1
هونداي i30,2010,61000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,113000,4+1,,إمكانية التقسيط,2,,1
فورد فيستا,2014,47000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,33000,4+1,,نقدا فقط,0,,
هونداي توسان,2014,93000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,,نقدا فقط,,,1
سكودا رابيد,2014,71000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,,نقدا فقط,غير منمر استيراد الماني,,
هونداي i40,2011,110000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,,إمكانية التقسيط,,1,1
سكودا اوكتافيا,2014,90000,عدة الوان,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,,,نقدا فقط,,,1
كيا فورتي,2011,67000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,"122,000",4+1,,نقدا فقط,,1,1
اوبل كاديت,1982,17500,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1300,00000000000000,4+1,,نقدا فقط,00,,1
هونداي اكسنت,2016,67000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,22000,4+1,,إمكانية التقسيط,0,,1
فولكسفاجن بولو,2012,60000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,,نقدا فقط,2,,
فولكسفاجن كادي,2011,95000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,6+1,,إمكانية التقسيط,,,1
دايو لانوس,1999,30000,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1500,,4+1,,نقدا فقط,3,,
فولكسفاجن كادي,2012,115000,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150000,6+1,,إمكانية التقسيط,2,,1
هونداي توسان,2014,109000,فيراني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,29000,4+1,,إمكانية التقسيط,غير منمرة,,
هونداي افانتي,2006,42000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,123457,,,إمكانية التقسيط,2,,
فولكسفاجن توران,2011,85000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٢٥٠٠٠٠,٧,,نقدا فقط,يد ثانيه,,1
شفروليه اوبترا,2006,32500,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,4+1,,نقدا فقط,3,,
اوبل كورسا,2003,33500,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,122000,4+1,,نقدا فقط,1,,1
فولكسفاجن توران,2012,97000,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,6+1,,إمكانية التقسيط,1,,1
هونداي توسان,2010,85000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,,نقدا فقط,,1,1
فورد فيستا,2012,45000,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,78000,4+1,,نقدا فقط,يد اولى,,
دايو رايسر,1996,21000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,00000,4+1,,إمكانية التقسيط,3,,
رينو R9,1983,11000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1100,,,,إمكانية التقسيط,,,1
فورد ترانزيت,2000,45000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,"7,+ 1",,نقدا فقط,,,
مرسيدس فيتو,1999,20000,رصاصي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,,,إمكانية التقسيط,,,1
اوبل كورسا,2015,56500,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,22000,5+1,,نقدا فقط,أولى,,1
جييب شيروكي,2003,85000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3700,130000,4+1,,إمكانية التقسيط,1,1,1
رينو R9,1982,10000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1235,,,,نقدا فقط,٨,,
اوبل كورسا,2013,51900,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,,إمكانية التقسيط,1,,1
فولكسفاجن كرافيل,2008,75000,برتقالي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,7:1,,نقدا فقط,يد اولا,,
هونداي جيتس,2007,40000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,900000,4+1,,نقدا فقط,يد ثالثة,,1
سكودا اوكتافيا,2015,113000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,7,4+1,,إمكانية التقسيط,0,,1
فولكسفاجن بولو,1997,25000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,00000000,4+1,,نقدا فقط,يد ثالثة,,1
فولكسفاجن جولف,2007,60000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,,,نقدا فقط,ثانية,,1
فولكسفاجن جولف,2012,100000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,65000,4+1,,نقدا فقط,يد أولى,1,1
سكودا اوكتافيا,2001,37000,أخضر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,_,4+1,,نقدا فقط,يد سادسة,1,1
فولكسفاجن باسات,2010,85000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,190,4+1,,نقدا فقط,1,,1
فولكسفاجن ترانسبورتر,1999,37000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2400,,1+7,,إمكانية التقسيط,,,
اوبل كاديت,1986,23000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,,4+1,,إمكانية التقسيط,,,1
بيجو بارتنر,2012,69000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,-,4+1,,نقدا فقط,يد ثانية,,
اوبل كاديت,1984,13000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,184000,4+1,,نقدا فقط,5,,1
اوبل اسكونا,1984,6000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,200,5+1,,نقدا فقط,5,,1
اوبل زافيرا,2004,45000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,6+1,,نقدا فقط,3,,1
سكودا سوبيرب,2014,123999,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,,نقدا فقط,,,1
كيا بيكانتو,2015,59000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,30000,4+1,,إمكانية التقسيط,اولى,,1
فولكسفاجن بولو,2015,84000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,,,نقدا فقط,1,1,1
فورد فوكس,2002,5500,أبيض,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,295000,4+1,,نقدا فقط,يد ثالثة,,
فولكسفاجن كادي,2015,108000,بني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,60000,6+1,,نقدا فقط,صفر,,
دايو نوبيرا,1997,22000,خمري,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,143212,4+1,,إمكانية التقسيط,9,,
بي ام دبليو X3,2014,215000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,43000,4+1,,نقدا فقط,يد اولى,1,1
فورد فيستا,2013,67000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,71,4+1,,نقدا فقط,1,,1
شفروليه افيو,2009,45000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,160000,4+1,,إمكانية التقسيط,,,
هونداي توسان,2006,55000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,,نقدا فقط,,,1
دراجة نارية دراجه سييم,2016,11500,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,4000,,,إمكانية التقسيط,0,,
فولكسفاجن جولف,1982,4000,خمري,بنزين,تأجير,فلسطينية,عادي,الكتروني,1300,,,,نقدا فقط,,,
هونداي توسان,2008,66000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,121000,5+1,,نقدا فقط,2,1,1
هونداي اكسنت,2015,68000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,9900,,,نقدا فقط,0,,1
سكودا اوكتافيا,2016,95000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,56000,4+1,,إمكانية التقسيط,0,,1
رينو R9,1983,7000,كحلي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1100,,4+1,,إمكانية التقسيط,,,
بيجو بارتنر,2011,57000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,٢٦٠,٤+١,,نقدا فقط,يد اولى,,
بيجو 305,1984,7500,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,00000,4+1,,نقدا فقط,0000,,
ستروين كسارا,2000,1900,سكني,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1600,0000,5+1,,نقدا فقط,يد اولى,,
هونداي كليك,2007,42000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,80 الف,4+1,,نقدا فقط,1,,
بي ام دبليو 520,1994,25000,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,200000,4+1,,إمكانية التقسيط,5,1,1
هونداي i25,2014,60000,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60,4+١,,نقدا فقط,1,,1
بيجو 307,2007,38500,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,4+1,,نقدا فقط,5,,1
هونداي i30,2008,55000,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,124000,4+1,,نقدا فقط,,,1
فولكسفاجن CC,2010,87000,أبيض عاجي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,120000قابل لزيادة,5+1,,إمكانية التقسيط,2,1,1
كيا سورينتو,2013,120000,فضي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2200,100000,6+1,,نقدا فقط,,,1
دايو ماتيز,2002,22000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,800,90000,4+1,,نقدا فقط,3,,1
